tavg_mean,tmin_mean,tmin_peak,tmax_mean,tmax_peak,prcp_sum,wspd_mean,pres_mean,Month,TotalConsumption_electric,TotalCost_electric,UsagePeriodDays_electric,TotalConsumption_gas,TotalCost_gas,UsagePeriodDays_gas
3.1233333333333335,-0.2129032258064516,-6.1,6.564516129032258,15.0,84.5,20.096774193548388,1011.303448275862,2013-03-01,11024665.42,1269357.85,30.78235100428054,1262864.58,1678820.81,30.30203045685279
8.860000000000001,4.86,-0.5,13.92,23.9,34.8,19.73,1020.7241379310345,2013-04-01,11153953.879999999,1111859.34,29.658432147562582,683126.44,888775.06,30.96457765667575
14.59032258064516,10.22258064516129,4.4,19.593548387096774,34.4,81.8,15.654838709677419,1018.3000000000001,2013-05-01,10314838.43,1032251.42,30.597426470588236,320020.54,498113.17,31.203856749311296
20.6,16.186666666666667,11.7,25.576666666666664,35.0,266.8,16.99,1013.1730769230769,2013-06-01,12569254.93,1262747.7,30.866343490304708,370533.25,503900.0,30.11716621253406
24.54516129032258,20.758064516129032,15.6,29.33225806451613,37.2,92.0,14.62258064516129,1016.4535714285714,2013-07-01,14458991.93,1311403.29,29.579485590331576,267954.29,442226.63,30.04199475065617
22.038709677419355,18.04516129032258,15.0,26.561290322580643,31.7,46.800000000000004,14.54516129032258,1015.75,2013-08-01,13664056.93,1220887.04,30.440750493745885,332559.54,526380.26,30.97340425531915
18.113333333333333,13.520000000000001,6.7,22.8,36.1,56.3,14.25,1015.5071428571429,2013-09-01,12122971.5,1071652.77,29.619565217391305,578739.91,806529.59,29.087912087912088
13.483870967741936,9.516129032258064,1.7,17.870967741935484,27.8,15.7,14.290322580645162,1017.6172413793104,2013-10-01,12156490.0,1184152.24,31.32698515171078,856542.58,1092566.85,29.359897172236504
5.953333333333333,1.5533333333333332,-7.7,10.376666666666667,22.2,69.2,18.540000000000003,1019.8206896551724,2013-11-01,10170707.25,1316757.98,30.53323802716226,1424908.13,1792839.74,31.49544072948328
0.7193548387096773,-3.0677419354838706,-12.7,4.570967741935483,13.9,117.6,16.25483870967742,1018.7354838709678,2013-12-01,12493916.75,2242240.89,31.553898726312518,1984058.08,2338386.75,31.904040404040405
-2.706451612903226,-6.67741935483871,-16.6,1.7290322580645159,15.0,82.4,19.09032258064516,1017.4625,2014-01-01,14753930.25,3138781.65,29.97687296416938,1628601.28,1970844.74,29.35656836461126
-1.5607142857142857,-5.314285714285715,-13.2,2.05,12.8,105.0,17.54642857142857,1017.4925925925926,2014-02-01,10739128.5,2193071.58,29.32960704607046,1618547.71,1911500.03,30.16056338028169
0.6354838709677421,-3.693548387096774,-11.6,5.4,15.6,113.80000000000001,18.82903225806452,1017.1814814814816,2014-03-01,11904816.25,1610654.4,30.03804347826087,1250681.6400000001,1636520.05,29.28205128205128
